Date,Channel,Campaign,Impressions,Clicks,Spend,Conversions,Revenue
11/01/2023,LinkedIn,Event Promotion,2380,18,66.61,0,0
11/01/2023,TikTok,Top of Funnel,25932,359,208.53,4,150.95
11/01/2023,TikTok,Product Showcase,31219,349,91.7,3,142.05
11/01/2023,TikTok,Retargeting,36852,643,442.47,9,437.8
12/01/2023,Google Ads,Brand Search,9131,396,836.88,25,2096.81
12/01/2023,Google Ads,Competitor Keywords,6297,354,531.89,13,879.61
12/01/2023,Google Ads,Retargeting,12581,790,905.38,41,3586.21
12/01/2023,Meta,Awareness,24532,423,178.97,13,896.73
12/01/2023,Meta,Retargeting,25752,470,395.65,8,598.14
12/01/2023,Meta,Lead Gen,13875,163,173.71,4,265.99
12/01/2023,LinkedIn,Brand Awareness,3251,19,93.67,0,0
12/01/2023,LinkedIn,Lead Gen,1876,16,80.53,0,0
12/01/2023,LinkedIn,Event Promotion,2540,21,91.55,0,0
12/01/2023,TikTok,Top of Funnel,14140,155,85.59,3,149.07
12/01/2023,TikTok,Product Showcase,21945,281,112.25,4,185.27
12/01/2023,TikTok,Retargeting,34232,609,209.06,7,424.76
13/01/2023,Google Ads,Brand Search,9535,594,1187.34,37,2534.97
13/01/2023,Google Ads,Competitor Keywords,15396,916,969.66,62,3683.95
13/01/2023,Google Ads,Retargeting,12583,541,1209.98,18,1563.58
13/01/2023,Meta,Awareness,12402,200,184.77,3,177.25
13/01/2023,Meta,Retargeting,16902,344,316.44,12,846.84
13/01/2023,Meta,Lead Gen,23486,346,337.34,11,782.89
13/01/2023,LinkedIn,Brand Awareness,1666,8,45.9,0,0
13/01/2023,LinkedIn,Lead Gen,1742,7,38.74,0,0
13/01/2023,LinkedIn,Event Promotion,3413,14,60.16,0,0
13/01/2023,TikTok,Top of Funnel,32322,430,232.01,7,280.7
13/01/2023,TikTok,Product Showcase,19501,230,140.27,3,157.48
13/01/2023,TikTok,Retargeting,26104,275,97.13,2,118.28
14/01/2023,Google Ads,Brand Search,10042,449,696.37,19,1435.74
14/01/2023,Google Ads,Competitor Keywords,15770,957,1508.83,40,3599.12
14/01/2023,Google Ads,Retargeting,10528,541,762.93,22,1748.44
14/01/2023,Meta,Awareness,13478,267,165.43,7,459.02
14/01/2023,Meta,Retargeting,33749,798,794.92,28,2018.47
14/01/2023,Meta,Lead Gen,17447,266,241.87,8,522.66
14/01/2023,LinkedIn,Brand Awareness,4012,29,102.87,0,0
14/01/2023,LinkedIn,Lead Gen,1527,9,47.86,0,0
14/01/2023,LinkedIn,Event Promotion,2280,13,49.44,0,0
14/01/2023,TikTok,Top of Funnel,33287,570,398.02,6,358.44
14/01/2023,TikTok,Product Showcase,44107,483,348.84,8,392.4
14/01/2023,TikTok,Retargeting,16685,294,210.53,4,257.59
15/01/2023,Google Ads,Brand Search,12330,785,646.57,40,2836.7
15/01/2023,Google Ads,Competitor Keywords,15333,733,1061.2,40,2720.06
15/01/2023,Google Ads,Retargeting,13150,535,1232.21,28,2436.95
15/01/2023,Meta,Awareness,17429,340,262.28,11,709.25
15/01/2023,Meta,Retargeting,12591,304,195.62,8,383.33
15/01/2023,Meta,Lead Gen,21786,366,342.72,12,880.55
15/01/2023,LinkedIn,Brand Awareness,2860,21,137.37,0,0
15/01/2023,LinkedIn,Lead Gen,3297,28,87.66,0,0
15/01/2023,LinkedIn,Event Promotion,4069,23,159.25,0,0
15/01/2023,TikTok,Top of Funnel,28327,304,237.4,5,298.63
15/01/2023,TikTok,Product Showcase,20457,294,164.14,2,117.21
15/01/2023,TikTok,Retargeting,30926,490,158.33,8,413.01
16/01/2023,Google Ads,Brand Search,12079,798,1084.12,28,2422.52
16/01/2023,Google Ads,Competitor Keywords,5631,391,969.21,20,1658.96
16/01/2023,Google Ads,Retargeting,7705,314,259.13,19,1203.22
16/01/2023,Meta,Awareness,16416,229,114.82,5,242.05
16/01/2023,Meta,Retargeting,12720,275,222.91,4,240.46
16/01/2023,Meta,Lead Gen,22754,494,540.23,13,763.64
16/01/2023,LinkedIn,Brand Awareness,3833,34,217.23,1,87.56
16/01/2023,LinkedIn,Lead Gen,4141,18,59.82,0,0
16/01/2023,LinkedIn,Event Promotion,2431,16,93.58,0,0
16/01/2023,TikTok,Top of Funnel,29084,408,105.88,6,363.5
16/01/2023,TikTok,Product Showcase,44888,455,214.27,4,180.67
16/01/2023,TikTok,Retargeting,36157,553,214.3,6,255.88
17/01/2023,Google Ads,Brand Search,8316,450,429.79,15,1051.74
17/01/2023,Google Ads,Competitor Keywords,11568,655,1177.03,34,2262.28
17/01/2023,Google Ads,Retargeting,7300,483,1159.16,22,1915.2
17/01/2023,Meta,Awareness,14272,271,184.64,7,359.68
17/01/2023,Meta,Retargeting,27242,618,420.3,17,823.59
17/01/2023,Meta,Lead Gen,18498,408,439.06,16,1112.84
17/01/2023,LinkedIn,Brand Awareness,3562,24,130.46,0,0
17/01/2023,LinkedIn,Lead Gen,1436,10,42.36,0,0
17/01/2023,LinkedIn,Event Promotion,3725,27,88.52,1,148.03
17/01/2023,TikTok,Top of Funnel,20950,212,95.8,2,92.2
17/01/2023,TikTok,Product Showcase,33513,458,114.95,3,119.17
17/01/2023,TikTok,Retargeting,18356,196,117.04,2,96.52
18/01/2023,Google Ads,Brand Search,8557,473,655.95,16,1259.8
18/01/2023,Google Ads,Competitor Keywords,13234,794,696.5,36,2735.15
18/01/2023,Google Ads,Retargeting,5553,379,797.6,22,1432.87
18/01/2023,Meta,Awareness,12101,256,138.38,6,396.66
18/01/2023,Meta,Retargeting,23958,479,327.32,11,739.87
18/01/2023,Meta,Lead Gen,18798,447,487.09,13,808.63
18/01/2023,LinkedIn,Brand Awareness,3834,20,92.4,0,0
18/01/2023,LinkedIn,Lead Gen,4567,37,247.13,0,0
18/01/2023,LinkedIn,Event Promotion,2203,13,43.09,0,0
18/01/2023,TikTok,Top of Funnel,24593,238,120.5,2,100.6
18/01/2023,TikTok,Product Showcase,30734,540,317.12,5,190.42
18/01/2023,TikTok,Retargeting,25076,351,230.3,5,201.57
19/01/2023,Google Ads,Brand Search,13691,857,1792.67,41,3581.16
19/01/2023,Google Ads,Competitor Keywords,13490,938,1265.79,64,4228.15
19/01/2023,Google Ads,Retargeting,9926,528,694.21,21,1196.29
19/01/2023,Meta,Awareness,20688,350,150.53,8,428.9
19/01/2023,Meta,Retargeting,30053,686,611.92,18,1059.86
19/01/2023,Meta,Lead Gen,28261,595,257.53,22,1367.29
19/01/2023,LinkedIn,Brand Awareness,1966,12,43.24,0,0
19/01/2023,LinkedIn,Lead Gen,4692,41,136.83,1,82.74
19/01/2023,LinkedIn,Event Promotion,3604,22,112,0,0
19/01/2023,TikTok,Top of Funnel,27928,439,266.62,3,161.78
19/01/2023,TikTok,Product Showcase,27352,244,148.11,2,113.42
19/01/2023,TikTok,Retargeting,49620,562,308.9,5,227.47
20/01/2023,Google Ads,Brand Search,14898,771,1396.72,52,3423.44
20/01/2023,Google Ads,Competitor Keywords,11085,552,561.52,32,2820.76
20/01/2023,Google Ads,Retargeting,16206,693,1344.26,34,1891.69
20/01/2023,Meta,Awareness,17032,225,260.58,6,310.78
20/01/2023,Meta,Retargeting,13115,189,194.76,5,305.97
20/01/2023,Meta,Lead Gen,32786,346,231.62,11,538.25
20/01/2023,LinkedIn,Brand Awareness,2381,11,63.49,0,0
20/01/2023,LinkedIn,Lead Gen,3645,22,125.52,0,0
20/01/2023,LinkedIn,Event Promotion,2555,20,78.72,0,0
20/01/2023,TikTok,Top of Funnel,42664,424,257.36,6,289.31
20/01/2023,TikTok,Product Showcase,31256,407,183.64,4,163.96
20/01/2023,TikTok,Retargeting,39868,418,244.41,7,361.45
21/01/2023,Google Ads,Brand Search,7720,428,433.12,14,848.55
21/01/2023,Google Ads,Competitor Keywords,12921,573,884.54,38,2385.31
21/01/2023,Google Ads,Retargeting,12875,874,1315.65,40,2723.55
21/01/2023,Meta,Awareness,23816,372,157.19,14,982.45
21/01/2023,Meta,Retargeting,25877,315,135.65,11,650.91
21/01/2023,Meta,Lead Gen,15798,269,240.02,10,455.7
21/01/2023,LinkedIn,Brand Awareness,2379,16,94.54,0,0
21/01/2023,LinkedIn,Lead Gen,2197,10,39.54,0,0
21/01/2023,LinkedIn,Event Promotion,1495,12,64.64,0,0
21/01/2023,TikTok,Top of Funnel,28654,312,62.69,3,156.36
21/01/2023,TikTok,Product Showcase,25399,224,175.79,1,50.78
21/01/2023,TikTok,Retargeting,43367,567,120.32,10,363.06
22/01/2023,Google Ads,Brand Search,12305,585,484.15,36,2414.45
22/01/2023,Google Ads,Competitor Keywords,14615,922,1889.93,39,2205.52
22/01/2023,Google Ads,Retargeting,12093,716,1583.54,41,3662.48
22/01/2023,Meta,Awareness,23919,530,238.75,18,1057.15
22/01/2023,Meta,Retargeting,16808,367,406.87,8,434.42
22/01/2023,Meta,Lead Gen,24123,437,263.36,14,710.26
22/01/2023,LinkedIn,Brand Awareness,2878,12,67.48,0,0
22/01/2023,LinkedIn,Lead Gen,3173,24,157.89,0,0
22/01/2023,LinkedIn,Event Promotion,3198,18,111.4,0,0
22/01/2023,TikTok,Top of Funnel,31334,439,304.4,6,267.82
22/01/2023,TikTok,Product Showcase,17957,196,91.64,3,120
22/01/2023,TikTok,Retargeting,35178,296,213.72,3,194.83
23/01/2023,Google Ads,Brand Search,9765,622,558.25,35,2422.61
23/01/2023,Google Ads,Competitor Keywords,13415,810,1959.99,28,2135.42
23/01/2023,Google Ads,Retargeting,9795,411,872.75,18,1231.2
23/01/2023,Meta,Awareness,21656,266,202.14,6,349.91
23/01/2023,Meta,Retargeting,13430,240,172.42,7,367.42
23/01/2023,Meta,Lead Gen,12041,154,125.39,5,242.66
23/01/2023,LinkedIn,Brand Awareness,3601,22,153.68,0,0
23/01/2023,LinkedIn,Lead Gen,2737,12,39.55,0,0
23/01/2023,LinkedIn,Event Promotion,1934,17,118.09,0,0
23/01/2023,TikTok,Top of Funnel,42564,719,511.08,11,691.02
23/01/2023,TikTok,Product Showcase,25632,335,91.39,3,117.5
23/01/2023,TikTok,Retargeting,33699,456,192.13,8,412.4
24/01/2023,Google Ads,Brand Search,15077,632,933.38,37,2654.87
24/01/2023,Google Ads,Competitor Keywords,11939,772,714.39,53,4106.54
24/01/2023,Google Ads,Retargeting,11410,633,644.5,39,2897.53
24/01/2023,Meta,Awareness,23243,569,424.53,21,979.91
24/01/2023,Meta,Retargeting,14378,209,110.68,8,414.11
24/01/2023,Meta,Lead Gen,26845,609,365.69,18,1107.45
24/01/2023,LinkedIn,Brand Awareness,1954,13,43.86,0,0
24/01/2023,LinkedIn,Lead Gen,2942,21,123.53,0,0
24/01/2023,LinkedIn,Event Promotion,2786,23,76.47,1,133.97
24/01/2023,TikTok,Top of Funnel,29277,458,206.08,7,349.59
24/01/2023,TikTok,Product Showcase,39177,688,336.96,12,666.6
24/01/2023,TikTok,Retargeting,29206,434,127.96,5,244.67
25/01/2023,Google Ads,Brand Search,10505,518,1046.99,30,2553.82
25/01/2023,Google Ads,Competitor Keywords,9691,495,868.63,21,1497.86
25/01/2023,Google Ads,Retargeting,9146,404,357.96,27,2301.63
25/01/2023,Meta,Awareness,19900,457,241.19,10,623.31
25/01/2023,Meta,Retargeting,17173,212,253.72,5,356.86
25/01/2023,Meta,Lead Gen,20115,486,390.92,19,977.63
25/01/2023,LinkedIn,Brand Awareness,2233,12,64.68,0,0
25/01/2023,LinkedIn,Lead Gen,2403,19,89.75,0,0
25/01/2023,LinkedIn,Event Promotion,3734,15,48.07,0,0
25/01/2023,TikTok,Top of Funnel,25450,331,218.01,3,194.02
25/01/2023,TikTok,Product Showcase,18517,166,70.37,3,155.2
25/01/2023,TikTok,Retargeting,35491,354,178.94,4,145.44
26/01/2023,Google Ads,Brand Search,8176,524,881.82,18,1552.67
26/01/2023,Google Ads,Competitor Keywords,7319,427,459.56,29,2345.41
26/01/2023,Google Ads,Retargeting,9948,549,914.92,27,2016.96
26/01/2023,Meta,Awareness,25091,389,365.29,15,937.67
26/01/2023,Meta,Retargeting,32320,628,551.09,13,840.68
26/01/2023,Meta,Lead Gen,26059,542,469.82,10,638.71
26/01/2023,LinkedIn,Brand Awareness,3683,21,132.02,0,0
26/01/2023,LinkedIn,Lead Gen,3224,13,55.31,0,0
26/01/2023,LinkedIn,Event Promotion,2761,19,92.84,0,0
26/01/2023,TikTok,Top of Funnel,21908,298,238.06,4,185.22
26/01/2023,TikTok,Product Showcase,23227,309,163.08,4,244.12
26/01/2023,TikTok,Retargeting,28918,286,99.5,4,166.98
27/01/2023,Google Ads,Brand Search,10442,638,1259.03,31,2225.59
27/01/2023,Google Ads,Competitor Keywords,14564,930,1176.34,32,2517.82
27/01/2023,Google Ads,Retargeting,11931,618,857,37,2224.69
27/01/2023,Meta,Awareness,11500,238,161.15,6,316.16
27/01/2023,Meta,Retargeting,21047,471,290.56,13,690.93
27/01/2023,Meta,Lead Gen,14417,271,160.96,8,487.45
27/01/2023,LinkedIn,Brand Awareness,3182,14,60.5,0,0
27/01/2023,LinkedIn,Lead Gen,1636,11,73.88,0,0
27/01/2023,LinkedIn,Event Promotion,4167,30,180.71,0,0
27/01/2023,TikTok,Top of Funnel,20099,178,96.92,2,113.39
27/01/2023,TikTok,Product Showcase,18919,184,134.2,1,62.59
27/01/2023,TikTok,Retargeting,37494,369,239.63,6,262.1
28/01/2023,Google Ads,Brand Search,5508,314,308.48,21,1364.15
28/01/2023,Google Ads,Competitor Keywords,14060,770,1844.58,49,3497.66
28/01/2023,Google Ads,Retargeting,9144,456,931.56,25,2003.77
28/01/2023,Meta,Awareness,12418,271,231.49,9,452.38
28/01/2023,Meta,Retargeting,30156,675,548.25,11,715.85
28/01/2023,Meta,Lead Gen,18072,310,356.08,4,226.03
28/01/2023,LinkedIn,Brand Awareness,3090,27,113.61,1,80.8
28/01/2023,LinkedIn,Lead Gen,3359,17,96.41,0,0
28/01/2023,LinkedIn,Event Promotion,3610,30,174.43,0,0
28/01/2023,TikTok,Top of Funnel,28328,289,223.81,3,145.95
28/01/2023,TikTok,Product Showcase,43075,646,483,11,649.66
28/01/2023,TikTok,Retargeting,27756,410,228.57,7,355.36
29/01/2023,Google Ads,Brand Search,13253,561,986.85,18,1335.02
29/01/2023,Google Ads,Competitor Keywords,11119,623,672.66,39,2748.11
29/01/2023,Google Ads,Retargeting,13089,752,717.86,37,3082.26
29/01/2023,Meta,Awareness,19920,323,274.91,9,586.65
29/01/2023,Meta,Retargeting,20084,320,337.01,10,623.49
29/01/2023,Meta,Lead Gen,12080,247,205.73,4,287.31
29/01/2023,LinkedIn,Brand Awareness,4331,23,85.56,0,0
29/01/2023,LinkedIn,Lead Gen,3903,23,160.34,0,0
29/01/2023,LinkedIn,Event Promotion,4128,18,123.42,0,0
29/01/2023,TikTok,Top of Funnel,28421,509,221.84,4,257.45
29/01/2023,TikTok,Product Showcase,16336,290,138.56,4,190.9
29/01/2023,TikTok,Retargeting,36905,386,157.37,4,252.49
30/01/2023,Google Ads,Brand Search,16095,659,1266.82,35,3071.89
30/01/2023,Google Ads,Competitor Keywords,5710,239,432.52,11,863.73
30/01/2023,Google Ads,Retargeting,6092,251,388.11,12,976.84
30/01/2023,Meta,Awareness,11272,280,164.45,10,622.83
30/01/2023,Meta,Retargeting,26188,526,345.34,11,542.28
30/01/2023,Meta,Lead Gen,27649,448,277.82,12,753
30/01/2023,LinkedIn,Brand Awareness,4222,30,141.26,1,148.06
30/01/2023,LinkedIn,Lead Gen,4580,27,137.64,1,108.58
30/01/2023,LinkedIn,Event Promotion,2331,18,88.09,0,0
30/01/2023,TikTok,Top of Funnel,24121,413,221.96,8,413.75
30/01/2023,TikTok,Product Showcase,20867,220,87.59,1,48.49
30/01/2023,TikTok,Retargeting,29174,444,139.54,4,220.84
31/01/2023,Google Ads,Brand Search,11556,487,1055.77,26,2041.02
31/01/2023,Google Ads,Competitor Keywords,8612,569,777.28,38,2110.39
31/01/2023,Google Ads,Retargeting,9490,412,1029.7,20,1269.82
31/01/2023,Meta,Awareness,27699,441,260.84,10,534.92
31/01/2023,Meta,Retargeting,22937,352,214.46,9,539.26
31/01/2023,Meta,Lead Gen,14915,310,312.88,7,357.66
31/01/2023,LinkedIn,Brand Awareness,2397,16,62.16,0,0
31/01/2023,LinkedIn,Lead Gen,4481,34,142.15,0,0
31/01/2023,LinkedIn,Event Promotion,3574,23,129.22,0,0
31/01/2023,TikTok,Top of Funnel,44476,641,316.88,6,353.1
31/01/2023,TikTok,Product Showcase,20800,280,86.92,5,323.55
31/01/2023,TikTok,Retargeting,18015,295,72.16,5,182.28
01/02/2023,Google Ads,Brand Search,5918,386,460.67,22,1217.04
01/02/2023,Google Ads,Competitor Keywords,12052,503,947.72,33,2869.23
01/02/2023,Google Ads,Retargeting,14049,564,980.12,17,1250
01/02/2023,Meta,Awareness,18194,260,208.46,8,463.34
01/02/2023,Meta,Retargeting,13809,158,82.02,3,182.38
01/02/2023,Meta,Lead Gen,18567,296,206.74,7,433.65
01/02/2023,LinkedIn,Brand Awareness,3341,24,153.4,0,0
01/02/2023,LinkedIn,Lead Gen,3294,19,85.66,0,0
01/02/2023,LinkedIn,Event Promotion,3297,21,99.45,0,0
01/02/2023,TikTok,Top of Funnel,22018,378,127.71,7,390.38
01/02/2023,TikTok,Product Showcase,42542,360,88.06,6,371.88
01/02/2023,TikTok,Retargeting,44722,437,310.38,3,123.64
02/02/2023,Google Ads,Brand Search,8359,513,757.75,16,970.97
02/02/2023,Google Ads,Competitor Keywords,9133,598,1166.67,30,2053.04
02/02/2023,Google Ads,Retargeting,8391,509,475.06,30,2013.15
02/02/2023,Meta,Awareness,13392,302,203.09,10,736.46
02/02/2023,Meta,Retargeting,23953,356,323,12,702.2
02/02/2023,Meta,Lead Gen,16127,388,289.25,12,777.84
02/02/2023,LinkedIn,Brand Awareness,1907,10,39.86,0,0
02/02/2023,LinkedIn,Lead Gen,2836,20,119.17,0,0
02/02/2023,LinkedIn,Event Promotion,1717,10,60.45,0,0
02/02/2023,TikTok,Top of Funnel,35627,482,214.41,4,182.47
02/02/2023,TikTok,Product Showcase,20143,319,229.12,2,94.83
02/02/2023,TikTok,Retargeting,20455,278,221.19,3,151.9
03/02/2023,Google Ads,Brand Search,13905,614,805.52,30,1716.43
03/02/2023,Google Ads,Competitor Keywords,10578,518,1103.62,23,2025.1
03/02/2023,Google Ads,Retargeting,15415,891,1009,30,1969.89
03/02/2023,Meta,Awareness,19918,384,400.61,8,440.34
03/02/2023,Meta,Retargeting,31126,374,245.54,14,714.36
03/02/2023,Meta,Lead Gen,17136,273,178.9,9,575.88
03/02/2023,LinkedIn,Brand Awareness,4574,23,103.6,1,107.51
03/02/2023,LinkedIn,Lead Gen,2089,10,69.89,0,0
03/02/2023,LinkedIn,Event Promotion,1797,11,64.17,0,0
03/02/2023,TikTok,Top of Funnel,20159,321,143,4,216
03/02/2023,TikTok,Product Showcase,24900,237,107.57,2,96.94
